X Y Z
308 100 915
309 100 915
310 100 915
311 100 915
312 100 915
313 100 914
314 100 914
315 100 915
316 100 915
317 100 915
305 101 917
306 101 917
307 101 916
308 101 916
309 101 916
310 101 916
311 101 915
312 101 915
313 101 915
314 101 915
315 101 915
316 101 915
317 101 915
318 101 915
304 102 917
305 102 917
306 102 917
307 102 917
308 102 917
309 102 917
310 102 916
311 102 916
312 102 915
313 102 915
314 102 915
315 102 915
316 102 915
317 102 914
318 102 914
319 102 914
304 103 917
305 103 917
306 103 917
307 103 917
308 103 917
309 103 917
310 103 917
311 103 916
312 103 916
313 103 915
314 103 915
315 103 914
316 103 914
317 103 914
318 103 914
319 103 914
303 104 917
304 104 917
305 104 918
306 104 917
307 104 917
308 104 917
309 104 917
310 104 916
311 104 916
312 104 915
313 104 915
314 104 914
315 104 914
316 104 914
317 104 914
318 104 914
319 104 914
303 105 917
304 105 917
305 105 917
306 105 917
307 105 917
308 105 917
309 105 917
310 105 916
311 105 915
312 105 915
313 105 915
314 105 914
315 105 914
316 105 914
317 105 914
318 105 914
319 105 914
302 106 917
303 106 917
304 106 917
305 106 917
306 106 917
307 106 916
308 106 916
309 106 916
310 106 915
311 106 915
312 106 914
313 106 914
314 106 914
315 106 914
316 106 914
317 106 913
318 106 913
319 106 913
320 106 913
301 107 916
302 107 916
303 107 916
304 107 917
305 107 917
306 107 916
307 107 916
308 107 916
309 107 915
310 107 915
311 107 914
312 107 914
313 107 914
314 107 914
315 107 913
316 107 913
317 107 913
318 107 913
319 107 913
320 107 913
321 107 913
300 108 916
301 108 916
302 108 916
303 108 917
304 108 917
305 108 916
306 108 916
307 108 915
308 108 915
309 108 914
310 108 914
311 108 914
312 108 913
313 108 913
314 108 913
315 108 913
316 108 913
317 108 913
318 108 912
319 108 912
320 108 912
321 108 912
322 108 912
300 109 916
301 109 916
302 109 916
303 109 916
304 109 916
305 109 916
306 109 915
307 109 914
308 109 914
309 109 914
310 109 913
311 109 913
312 109 912
313 109 912
314 109 912
315 109 912
316 109 912
317 109 912
318 109 912
319 109 912
320 109 912
321 109 912
322 109 912
323 109 911
300 110 916
301 110 916
302 110 916
303 110 916
304 110 916
305 110 915
306 110 914
307 110 914
308 110 914
309 110 913
310 110 912
311 110 912
312 110 912
313 110 912
314 110 912
315 110 912
316 110 912
317 110 912
318 110 912
319 110 912
320 110 912
321 110 911
322 110 911
323 110 910
300 111 917
301 111 917
302 111 916
303 111 916
304 111 916
305 111 915
306 111 914
307 111 913
308 111 913
309 111 912
310 111 912
311 111 912
312 111 912
313 111 911
314 111 912
315 111 912
316 111 912
317 111 912
318 111 911
319 111 911
320 111 911
321 111 911
322 111 910
323 111 909
300 112 918
301 112 917
302 112 917
303 112 917
304 112 916
305 112 915
306 112 914
307 112 914
308 112 913
309 112 912
310 112 912
311 112 912
312 112 911
313 112 912
314 112 912
315 112 912
316 112 912
317 112 912
318 112 911
319 112 912
320 112 911
321 112 911
322 112 910
323 112 909
300 113 918
301 113 917
302 113 917
303 113 917
304 113 916
305 113 915
306 113 915
307 113 914
308 113 913
309 113 912
310 113 912
311 113 912
312 113 912
313 113 912
314 113 913
315 113 913
316 113 913
317 113 913
318 113 912
319 113 912
320 113 912
321 113 911
322 113 910
323 113 909
300 114 919
301 114 918
302 114 918
303 114 917
304 114 917
305 114 916
306 114 915
307 114 914
308 114 914
